,question,answer
0,[구매관련] 근저당 설정 해지 방법 및 절차를 알고싶습니다.,"자동차 근저당 설정 해지는 할부를 진행한 할부사의 지점을 방문하여 근저당 설정 해지 서류를 받으신 다음에 해당 관청(시청, 구청, 군청)의 차량 등록 사업부의 저당 설정 해지 창구에 제출하시면 됩니다. "
1,[구매관련] 저공해 증명서 재발급 철차 및 장소를 알고싶습니다.,"저공해 자동차 증명서는 차량 구입을 담당한 전시장을 통해 재 발급이 가능합니다. 
  차량 구입을 담당한 전시장이 폐점되어 재 발급이 어려운 경우에는 한국지엠 고객센터(☎ 080-3000-5000)로 연락주시기 바랍니다. "
2,[구매관련] 재고차 구입 조건시 할인율을 알고싶습니다.,쉐보레 전시장을 통해 자세한 상담 받아주시기 바랍니다.
3,[구매관련] 신차 구입시 출고 예정일 확인 방법을 알고싶습니다.,"출고예정일은 고객님께서 선택하신 차종, 옵션, 색상 등에 따라 다소 차이가 있습니다. 
  차량 구입을 담당한 전시장(카매니저)을 통해 상담 받아주시길 부탁 드립니다. "
4,[구매관련] 할부금 중도 상환 방법을 알고싶습니다.,"할부금 중도 상환은 가능하며, 중도상환에 따른 수수료가 발생됩니다.
  할부금 잔액과 수수료, 납입 방법 관련해서는 이용하시는 할부사를 통해 자세한 상담 받아보시기 바랍니다. "
5,[구매관련] 신차 구입시 신용카드 사용과 캐피탈 이용 동시에 가능 여부를 알고싶습니다.,신용카드 결제와 할부사 이용을 중복하여 사용 가능합니다. (계약자 본인 카드만 가능) 
6,[구매관련] 신차 구입시 신용카드 복수 사용 여부를 알고싶습니다.,"자동차 구입시 신용카드를 이용한 결제는 신용카드 개수에 제한 없이 결제 가능하고, 고객님 신용카드 한도 내에서 희망하시는 금액까지 자유로운 결제가 가능합니다. (자세한 내용은 담당 카매니저에게 문의하시기 바랍니다)  "
7,[구매관련] 구입시 계약자와 신용카드 계약자 명의는 어떻게 해야하나요?,"여신전문금융법에 의해 결제권자와 소유권자는 동일해야 하며, 신차 구입시 신용카드 결제는 본인명의 카드로만 결제 가능합니다."
8,[구매관련] 신용카드로 차량 구입시 소득공제 여부를 알고싶습니다.,조세특례제한법에 의거 신규로 출고되는 자동차 구입시 신용카드 금액은 소득공제 대상에서 제외됩니다.
9,[구매관련] 할부를 진행하는 캐피탈사를 확인하는 방법은 무엇입니까?,차량 구입을 상담한 전시장에 문의하시기 바랍니다.
